rank,ticker,score,gate
1,AMAT,0.9127,yes
2,ARM,0.8982,yes
3,HOOD,0.8964,yes
4,KLAC,0.8831,yes
5,LRCX,0.8789,yes
6,GE,0.8512,yes
7,SOFI,0.8422,yes
8,VST,0.8283,yes
9,ANET,0.8223,yes
10,RBLX,0.7988,yes
11,MRVL,0.794,yes
12,MU,0.7898,yes
13,JPM,0.7687,yes
14,AMD,0.7361,yes
15,INTC,0.7295,yes
16,DASH,0.7277,yes
17,GS,0.7163,yes
18,FTNT,0.7042,yes
19,ABNB,0.7036,yes
20,DELL,0.7006,yes
21,BAC,0.6843,no
22,ASML,0.6578,no
23,NU,0.656,no
24,PANW,0.6398,no
25,PYPL,0.6241,no
26,MCHP,0.6066,no
27,TXN,0.5904,no
28,QCOM,0.5904,no
29,CRWD,0.5651,no
30,NXPI,0.5602,no
31,SNOW,0.5542,no
32,MELI,0.5542,no
33,SHOP,0.553,no
34,APP,0.5524,no
35,DDOG,0.5398,no
36,ON,0.5295,no
37,OKTA,0.5205,no
38,PFE,0.5199,no
39,TSM,0.5175,no
40,PINS,0.5139,no
41,LLY,0.512,no
42,BA,0.5102,no
43,CDNS,0.4916,no
44,NET,0.491,no
45,AAPL,0.4904,no
46,IBM,0.4849,no
47,SE,0.4729,no
48,MDB,0.4675,no
49,ADI,0.4663,no
50,TSLA,0.4657,no
51,UBER,0.4645,no
52,COIN,0.4584,no
53,META,0.4084,no
54,AXON,0.4024,no
55,GOOGL,0.3976,no
56,PLTR,0.3898,no
57,CSCO,0.3729,no
58,SPOT,0.356,no
59,AMZN,0.3554,no
60,WDAY,0.3343,no
61,VRT,0.3325,no
62,NFLX,0.3313,no
63,COST,0.3187,no
64,SEDG,0.3145,no
65,MSFT,0.3133,no
66,NVDA,0.3012,no
67,SNAP,0.294,no
68,CRM,0.2765,no
69,AVGO,0.2753,no
70,OXY,0.2735,no
71,TWLO,0.2711,no
72,TEAM,0.2554,no
73,ORCL,0.2464,no
74,SNPS,0.2434,no
75,ADBE,0.2199,no
76,HUBS,0.2163,no
77,ZS,0.1982,no
78,NOW,0.1952,no
79,SMCI,0.1946,no
80,TTD,0.1843,no
81,SAP,0.1843,no
82,INTU,0.153,no
83,PLUG,0.103,no
