section,metric,value
predictiveness,corr[return_1d|fwd_5d],0.013014463968175778
predictiveness,corr[return_1d|fwd_10d],0.004122797614576553
predictiveness,corr[return_1d|fwd_20d],0.03953746883240375
predictiveness,corr[return_5d|fwd_5d],-0.010531886202618478
predictiveness,corr[return_5d|fwd_10d],0.04668326014379886
predictiveness,corr[return_5d|fwd_20d],0.09739433632992923
predictiveness,corr[return_20d|fwd_5d],0.061473868527204975
predictiveness,corr[return_20d|fwd_10d],0.11100135002120966
predictiveness,corr[return_20d|fwd_20d],0.17459423546460817
predictiveness,corr[vol_ratio|fwd_5d],0.0022038493646197315
predictiveness,corr[vol_ratio|fwd_10d],-0.01950448076294208
predictiveness,corr[vol_ratio|fwd_20d],0.014914919209430555
predictiveness,corr[vol_adj_mom_20d|fwd_5d],0.07295842767725491
predictiveness,corr[vol_adj_mom_20d|fwd_10d],0.11133948917060157
predictiveness,corr[vol_adj_mom_20d|fwd_20d],0.1499659791529865
predictiveness,corr[composite_score|fwd_5d],0.04541451532846116
predictiveness,corr[composite_score|fwd_10d],0.07943672455847585
predictiveness,corr[composite_score|fwd_20d],0.11176671495735899
predictiveness,Q1_avg_fwd_5d,0.005013474118854742
predictiveness,Q1_win_5d,0.49271451699946034
predictiveness,Q1_avg_fwd_10d,0.007979322993875526
predictiveness,Q1_win_10d,0.4835972850678733
predictiveness,Q1_avg_fwd_20d,0.023759868219963887
predictiveness,Q1_win_20d,0.516270337922403
predictiveness,Q2_avg_fwd_5d,0.0056640249432898734
predictiveness,Q2_win_5d,0.5126146788990825
predictiveness,Q2_avg_fwd_10d,0.008163333871768128
predictiveness,Q2_win_10d,0.5060096153846154
predictiveness,Q2_avg_fwd_20d,0.017029919378140218
predictiveness,Q2_win_20d,0.5039893617021277
predictiveness,Q3_avg_fwd_5d,0.0005130236341876461
predictiveness,Q3_win_5d,0.47760388559093364
predictiveness,Q3_avg_fwd_10d,0.006382901766613635
predictiveness,Q3_win_10d,0.46945701357466063
predictiveness,Q3_avg_fwd_20d,0.01785025851987558
predictiveness,Q3_win_20d,0.4662077596996245
predictiveness,Q4_avg_fwd_5d,0.004563136560323066
predictiveness,Q4_win_5d,0.48853211009174313
predictiveness,Q4_avg_fwd_10d,0.017211458671026802
predictiveness,Q4_win_10d,0.4951923076923077
predictiveness,Q4_avg_fwd_20d,0.042380145711643655
predictiveness,Q4_win_20d,0.5179521276595744
predictiveness,Q5_avg_fwd_5d,0.016966715941081723
predictiveness,Q5_win_5d,0.5407447382622774
predictiveness,Q5_avg_fwd_10d,0.03474420008970196
predictiveness,Q5_win_10d,0.5548642533936652
predictiveness,Q5_avg_fwd_20d,0.07513166936618418
predictiveness,Q5_win_20d,0.5607008760951189
predictiveness,spread_5d,0.01195324182222698
predictiveness,spread_10d,0.02676487709582643
predictiveness,spread_20d,0.051371801146220294
attribution,raw_avg_return_5d,0.02274856103873177
attribution,raw_win_rate_5d,0.5601851851851852
attribution,raw_avg_return_10d,0.04697727356641839
attribution,raw_win_rate_10d,0.6019417475728155
attribution,raw_avg_return_20d,0.12283543183652869
attribution,raw_win_rate_20d,0.6344086021505376
attribution,raw_avg_return_30d,0.18136644281647185
attribution,raw_win_rate_30d,0.6566265060240963
pnl_by_ticker,DELL,15552.7372
pnl_by_ticker,MRVL,11042.902500000002
pnl_by_ticker,MU,10701.71
pnl_by_ticker,ARM,8291.228599999999
pnl_by_ticker,ON,7044.21
pnl_by_ticker,ADI,3260.96
pnl_by_ticker,INTC,3218.3118999999992
pnl_by_ticker,AMAT,3069.96
pnl_by_ticker,KLAC,2313.24
pnl_by_ticker,TSM,2139.2
pnl_by_ticker,LRCX,1894.57
pnl_by_ticker,DDOG,1827.2359000000001
pnl_by_ticker,FTNT,1503.2100000000014
pnl_by_ticker,PANW,1476.7103999999995
pnl_by_ticker,ASML,1283.88
pnl_by_ticker,CRWD,1115.8758000000005
pnl_by_ticker,OXY,1109.1
pnl_by_ticker,MCHP,260.13
pnl_by_ticker,QCOM,-248.1976000000011
pnl_by_ticker,SEDG,-1226.881600000001
pnl_by_ticker,TXN,-1359.7
pnl_by_ticker,SNPS,-1540.54
pnl_by_ticker,ZS,-3145.06
pnl_by_group,semiconductors,18992.938599999998
pnl_by_group,software_cybersecurity,2592.5861999999997
turnover,total_trades,40.0
turnover,trades_per_month,7.3349397590361445
turnover,avg_holding_days,56.76
turnover,stop_then_reentry_count,0.0
capture,avg_exposure,0.8928382522645709
capture,max_exposure,0.9761482672134747
capture,avg_cash_pct,0.10716174773542901
capture,corr_spy,0.6831660274319367
capture,corr_qqq,0.7668136270183434
capture,beta_spy,2.072341176481637
capture,beta_qqq,1.598969703711046
capture,up_capture_qqq,1.9823740666455607
capture,down_capture_qqq,1.553914068504874
